№,КАТО,Новая протяженность КТ при последовательном подключении,Технология,Область,Район,Сельский округ,Нас пункт,Координаты СНП,Население,ГОД,Домохозяйства,Акимат,Школа,"Больница (ФАП, СВА, ВА)",Полиция (ОП),Аварийная служба (МЧС),Отдел обороны (Военкомат),Погран служба,Отдел ветеринарии,Библиотека,Сельский клуб/ДК,Общественная точка доступа,Цон,Количество подключенных объектов факт,Статус в разрезе населенного пкунтка,Доп. статус ,Что подключено,Кол-во точек,ВСЕГО ГУ/БО,Начало СМР,Завершение СМР,Ориентировочная протяженность ВОЛС (км),Откопка/Закопка траншей(км),Прокладка микротрубки(км)
115,114637400,"36,22",ВОЛС,Акмолинская область,Ерейментауский район,с.о. Олжабай батыра,с.Ынтымак,"51.177415, 72.990866",,2025,70,,,1,,,,,,,,,,1,Подключено,временно спутник,1 ФАП,1,1,15.04.2026,30.11.2026,,,
116,114641200,14,ВОЛС,Акмолинская область,Ерейментауский район,Тайбайский с.о.,с. Ельтай,"51.488041, 73.019800",131,2026,156,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
117,114659400,,Спутник,Акмолинская область,Ерейментауский район,Тургайский с.о.,с.Карагайлы,"51.729117, 72.697045",,2027,54,,,,,,,,,,,,,0,В работе,,,0,0,,,,,
126,114879300,18,ВОЛС (Wi-Fi public),Акмолинская область,Есильский район,Интернациональный с.о.,с. Биртал,"51.541800, 65.661400",,2026,140,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
119,114659300,15,ВОЛС,Акмолинская область,Ерейментауский район,Тургайский с.о.,с.Балыкты,"51.629685, 72.725647",,2027,0,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
120,114659180,24,ВОЛС,Акмолинская область,Ерейментауский район,Тургайский с.о.,с.Жанажол,"51.874105, 72.978541",255,2026,124,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
121,114653100,"36,22",ВОЛС,Акмолинская область,Ерейментауский район,Улентинский с.о.,ст. Уленты,"51.626548, 73.736315",145,2026,44,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
122,114837300,4,ВОЛС,Акмолинская область,Есильский район,Бузулукский с.о.,с.Сурган,"52.001877, 66.252809.",285,2026,96,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
123,114845200,6,ВОЛС,Акмолинская область,Есильский район,Жаныспайский с.о.,с.Ковыльное,"52.045241, 66.077988",321,2026,80,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
124,114847200,"36,22",ВОЛС,Акмолинская область,Есильский район,Зареченский с.о.,с. Дальное,"52.240937, 66.371621",82,2026,39,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
125,114879200,,Спутник,Акмолинская область,Есильский район,Интернациональный с.о.,с. Алматинское,"51.528665, 65.796348",,2025,97,,,,,,,,,,,1,,1,Подключено,,1 Публичный,1,0,,,,,
138,115251100,21,ВОЛС (Wi-Fi public),Акмолинская область,Жаксынский район,Калининский с.о.,с.Калининское,"52.248849, 67.568554",211,2027,32,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
127,114879100,"36,22",ВОЛС,Акмолинская область,Есильский район,Интернациональный с.о.,с. Интернациональное,"51.647359, 65.823567",382,2026,112,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
128,114859200,15,ВОЛС,Акмолинская область,Есильский район,Канай Бийский с.о.,с.Иглик,"52.016667, 66.397500",257,2026,61,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
129,114857300,4,ВОЛС,Акмолинская область,Есильский район,Красивинский с.о.,с.Кумай,"51.904043, 66.919656",176,2026,47,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
130,114857400,10,ВОЛС,Акмолинская область,Есильский район,Красивинский с.о.,с.Ленинское,"51.963415, 66.707195",89,2026,38,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
131,114857700,19,ВОЛС,Акмолинская область,Есильский район,Красивинский с.о.,с.Ярославка,"52.003546, 66.886661",132,2026,53,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
132,114857100,"36,22",ВОЛС,Акмолинская область,Есильский район,Красивинский с.о.,ст. Красивая,"51.889443, 66.776491",157,2026,53,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
133,114859300,5,ВОЛС,Акмолинская область,Есильский район,Красногорский с.о.,с. Калачи,"52.245194, 66.538941",206,2026,101,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
134,114873300,17,ВОЛС,Акмолинская область,Есильский район,Свободненский с.о.,с.Раздольное,"52.108464, 66.813116",160,2026,119,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
135,115239300,11,ВОЛС,Акмолинская область,Жаксынский район,Беловодский с.о.,с.Кайракты,"51.876579, 67.809760",172,2027,50,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
136,115243200,6,ВОЛС,Акмолинская область,Жаксынский район,Жанакииминский с.о.,с.Алгабас,"51.581629, 67.876541",74,2026,17,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
137,115247400,4,ВОЛС,Акмолинская область,Жаксынский район,Ишимский с.о.,с.Монастырка,"51.446335, 67.170861",93,2026,62,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
140,115265200,"34,22",ВОЛС (Wi-Fi public),Акмолинская область,Жаксынский район,Кызылсайский с.о.,с.Баягиз,"51.983948, 67.205913",58,2027,20,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
139,115251500,13,ВОЛС,Акмолинская область,Жаксынский район,Калининский с.о.,с.Моховое,"52.305538, 67.540993",222,2027,68,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
159,115635200,"34,22",ВОЛС (Wi-Fi public),Акмолинская область,Зерендинский район,Алексеевский с.о.,ст. Жаманаши,"53.443327, 69.483582",51,2026,15,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
141,115265100,15,ВОЛС,Акмолинская область,Жаксынский район,Кызылсайский с.о.,с.Кировское,"52.075369, 67.231317",355,2027,59,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
142,115274100,16,ВОЛС,Акмолинская область,Жаксынский район,Тарасовский с.о.,с.Тарасовка,"51.944893, 67.700983",286,2027,119,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
143,115275100,15,ВОЛС,Акмолинская область,Жаксынский район,,с.Терсакан,"51.268347, 67.216396",287,2027,86,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
144,115473200,3,ВОЛС,Акмолинская область,Жаркаинский район,Валихановский с.о.,с.Достык,"51.210802, 66.763573",104,2026,41,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
145,115443300,14,ВОЛС,Акмолинская область,Жаркаинский район,Жанадалинский с.о.,с.Зерноградское,"50.824444, 66.670833",282,2027,72,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
146,115455200,"36,22",ВОЛС,Акмолинская область,Жаркаинский район,Нахимовский с.о.,с.Баранкуль,"51.185278, 66.843889",,2026,59,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
147,115455100,21,ВОЛС,Акмолинская область,Жаркаинский район,Нахимовский с.о.,с.Нахимовка,"51.116160, 66.672718",179,2027,90,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
148,115475100,9,ВОЛС,Акмолинская область,Жаркаинский район,с.а Ушкарасу,с.Ушкарасу,"51.623937, 66.475861",217,2027,65,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
149,115479100,37,ВОЛС,Акмолинская область,Жаркаинский район,с.а Шойындыколь,с.Шойындыколь,"50.489823, 67.307611",190,2027,65,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
150,115437100,25,ВОЛС,Акмолинская область,Жаркаинский район,с.а. Бирасуат,с.Бирсуат,"50.787672, 66.916143",393,2027,154,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
151,115453100,18,ВОЛС,Акмолинская область,Жаркаинский район,с.а. Кумсуат,с.Кумсуат,"51.199160, 67.044827",242,2027,50,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
152,115469100,11,ВОЛС,Акмолинская область,Жаркаинский район,с.а. Тасоткель,с.Тасоткель,"51.360904, 66.564893",304,2027,85,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
153,115471100,30,ВОЛС,Акмолинская область,Жаркаинский район,с.а. Тассуат,с.Тассуат,"51.142167, 66.668433",266,2027,85,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
154,115441100,16,ВОЛС,Акмолинская область,Жаркаинский район,с.а.Далабай,с.Далабай,"51.210802, 66.763573",218,2027,60,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
155,115667500,,Спутник,Акмолинская область,Зерендинский район,Кызылегисский,Карашилик,"52.798479, 69.468994",,2025,77,,,,,,,,,,,1,,1,Подключено,,1 Публичный,1,0,,,,,
156,115633200,7,ВОЛС,Акмолинская область,Зерендинский район,Аккольский с.о.,с.Ивановка,"53.240937, 69.628903",202,2026,40,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
157,115633300,18,ВОЛС,Акмолинская область,Зерендинский район,Аккольский с.о.,с.Казахстан,"53.296251, 69.717252",135,2026,162,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
158,115633400,17,ВОЛС,Акмолинская область,Зерендинский район,Аккольский с.о.,с.Молодежное,"53.228686, 69.888597",506,2026,35,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
160,115669800,"34,22",ВОЛС (Wi-Fi public),Акмолинская область,Зерендинский район,Байтерекский с.о.,с. Ульгили,"52.868246, 68.677093",76,2026,26,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
230,116438200,3,ВОЛС (Wi-Fi public),Акмолинская область,Сандыктауский район,Берликский с.о.,с.Арбузинка,"52.175374, 68.674874",190,2025,35,,,,,,,,,,,1,,1,Подключено,временно спутник,1 Публичный,1,0,15.03.2026,31.10.2026,,,
161,115669100,9,ВОЛС,Акмолинская область,Зерендинский район,Байтерекский с.о.,с.Байтерек,"52.907498, 68.949246",479,2026,88,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
162,115669300,11,ВОЛС,Акмолинская область,Зерендинский район,Байтерекский с.о.,с.Ермаковка,"52.954879, 68.731998",156,2026,42,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
163,115669400,12,ВОЛС,Акмолинская область,Зерендинский район,Байтерекский с.о.,с.Красный Кордон,"52.915535, 69.033059",368,2026,42,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
164,115637500,18,ВОЛС,Акмолинская область,Зерендинский район,Булакский с.о.,с. Жылымды,"53.296870, 68.742562",216,2026,78,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
165,115637600,14,ВОЛС,Акмолинская область,Зерендинский район,Булакский с.о.,с. Карагай,"53.311598, 68.855022",245,2026,56,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
166,115637400,24,ВОЛС,Акмолинская область,Зерендинский район,Булакский с.о.,с.Жанааул,"53.286240, 68.933436",160,2026,51,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
167,115637700,14,ВОЛС,Акмолинская область,Зерендинский район,Булакский с.о.,с.Карлыколь,"53.212453, 68.756225",191,2026,140,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
168,115643600,9,ВОЛС,Акмолинская область,Зерендинский район,Викторовский с.о.,с.Богенбай би,"52.750811, 69.183401",149,2026,110,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
169,115630380,14,ВОЛС,Акмолинская область,Зерендинский район,Зерендинский с.о.,с.Коктерек,"52.850820, 69.303317",136,2026,71,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
170,115663100,18,ВОЛС,Акмолинская область,Зерендинский район,Исаковский с.о.,с.Исаковка,"52.605244, 69.335387",384,2026,42,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
171,115663400,9,ВОЛС,Акмолинская область,Зерендинский район,Исаковский с.о.,с.Костомаровка,"52.651493, 69.279737",121,2026,46,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
172,115649200,9,ВОЛС,Акмолинская область,Зерендинский район,Конысбайский с.о.,с.Васильковка,"53.442941, 69.370314",505,2026,46,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
173,115649400,18,ВОЛС,Акмолинская область,Зерендинский район,Конысбайский с.о.,с.Донгулагаш,"53.445885, 69.163638",162,2026,48,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
174,115667100,14,ВОЛС,Акмолинская область,Зерендинский район,Кызылегисский с.о.,с.Кызылегис,"52.771519, 69.366496",145,2026,48,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
